video_id,vehicle_id,composite_id,class,violations,violation_count,total_fine,currency,speed_limit_kmh,max_speed_kmh,avg_speed_kmh,first_violation_frame,first_violation_sec,best_frame_id
teammate_video,2627,teammate_video_2627,car,,0,0.0,INR,60.0,,,,,412
teammate_video,2649,teammate_video_2649,car,,0,0.0,INR,60.0,,,,,317
teammate_video,2692,teammate_video_2692,rickshaw,,0,0.0,INR,60.0,,,,,322
teammate_video,2715,teammate_video_2715,bike,,0,0.0,INR,60.0,,,,,393
teammate_video,2738,teammate_video_2738,bike,,0,0.0,INR,60.0,,,,,328
teammate_video,2799,teammate_video_2799,bike,,0,0.0,INR,60.0,,,,,411
teammate_video,2830,teammate_video_2830,bike,,0,0.0,INR,60.0,,,,,335
teammate_video,2868,teammate_video_2868,bike,,0,0.0,INR,60.0,,,,,403
teammate_video,2894,teammate_video_2894,rickshaw,tailgating,1,500.0,INR,60.0,,,340,11.33,366
teammate_video,2915,teammate_video_2915,bike,,0,0.0,INR,60.0,,,,,386
teammate_video,2923,teammate_video_2923,car,,0,0.0,INR,60.0,,,,,348
teammate_video,2950,teammate_video_2950,car,,0,0.0,INR,60.0,,,,,365
teammate_video,2961,teammate_video_2961,car,,0,0.0,INR,60.0,,,,,349
teammate_video,2962,teammate_video_2962,car,,0,0.0,INR,60.0,,,,,351
teammate_video,2970,teammate_video_2970,bike,,0,0.0,INR,60.0,,,,,349
teammate_video,3015,teammate_video_3015,bike,,0,0.0,INR,60.0,,,,,354
teammate_video,3029,teammate_video_3029,bike,,0,0.0,INR,60.0,,,,,390
teammate_video,3077,teammate_video_3077,bike,tailgating,1,350.0,INR,60.0,,,408,13.6,412
teammate_video,3094,teammate_video_3094,bike,,0,0.0,INR,60.0,,,,,412
teammate_video,3131,teammate_video_3131,rickshaw,,0,0.0,INR,60.0,,,,,381
teammate_video,3132,teammate_video_3132,car,,0,0.0,INR,60.0,,,,,381
teammate_video,3213,teammate_video_3213,car,,0,0.0,INR,60.0,,,,,396
teammate_video,3225,teammate_video_3225,rickshaw,,0,0.0,INR,60.0,,,,,379
teammate_video,3299,teammate_video_3299,bike,,0,0.0,INR,60.0,,,,,389
teammate_video,3321,teammate_video_3321,bike,,0,0.0,INR,60.0,,,,,390
teammate_video,3394,teammate_video_3394,bike,,0,0.0,INR,60.0,,,,,400
teammate_video,3395,teammate_video_3395,car,,0,0.0,INR,60.0,,,,,398
teammate_video,3396,teammate_video_3396,bike,,0,0.0,INR,60.0,,,,,407
teammate_video,3397,teammate_video_3397,bike,,0,0.0,INR,60.0,,,,,398
teammate_video,3528,teammate_video_3528,rickshaw,,0,0.0,INR,60.0,,,,,411
teammate_video,3529,teammate_video_3529,bike,,0,0.0,INR,60.0,,,,,412
teammate_video,3539,teammate_video_3539,bike,,0,0.0,INR,60.0,,,,,410
